id;start_date;updated_date;survey_id;status;device_type;1_¿Qué museo acabas de visitar?;2_La recepción y atención al público;3_La información: paneles, folletos, cartelas ...;4_El confort, el orden y la limpieza en la visita;5_La adaptación a visitantes con discapacidad ;6_Teniendo en cuenta toda su experiencia, ¿cuál es su valoración global con la visita  en una escala de 0 a 10, siendo “0”, totalmente insatisfactoria y “10”, totalmente satisfactoria;7_Nos encantaría recibir sus observaciones, comentarios o recomendaciones para ayudarnos a mejorar el servicio;8_¿Cuál es su grupo de edad?;9_¿Cuál es su sexo?
37980900;2023-07-04 08:34:15;2023-07-04 13:14:51;311750;Parcial;Tablet;;10;;;;;;;
38007547;2023-07-05 09:45:02;2023-09-27 12:35:27;311750;Completa;Desktop;San Antonio de la Florida;7;9;9;;9;;De 41 a 65 años;Femenino
38018057;2023-07-06 11:43:36;2023-07-06 13:24:58;311750;Completa;Mobile;Historia de Madrid;5;10;6;8;10;;De 26 a 40 años;Masculino
38042716;2023-07-07 09:05:06;2023-07-07 09:07:13;311750;Parcial;Mobile;Planetario de Madrid;10;10;10;10;8;;;
38056804;2023-07-07 17:21:25;2023-07-07 17:28:31;311750;Completa;Mobile;Planetario de Madrid;10;7;7;8;8;El trato de los vigilantes de seguridad ha sido excepcional también en general todo el personal;De 41 a 65 años;Masculino
38062759;2023-07-08 11:05:13;2023-07-08 11:05:32;311750;Parcial;Mobile;Planetario de Madrid;2;;;;;;;
38075969;2023-07-10 18:58:51;2023-07-10 18:59:44;311750;Completa;Mobile;Planetario de Madrid;10;;8;9;8;;De 66 o más años;Masculino
38082293;2023-07-11 09:59:24;2023-07-13 13:37:23;311750;Completa;Mobile;Planetario de Madrid;10;8;;10;10;;De 26 a 40 años;Masculino
38083252;2023-07-11 11:58:04;2023-07-11 12:00:40;311750;Completa;Mobile;Imprenta Municipal - Artes del Libro;10;10;10;;10;;De 41 a 65 años;Femenino
38083253;2023-07-11 11:58:21;2023-07-11 12:08:52;311750;Parcial;Mobile;Imprenta Municipal - Artes del Libro;10;10;10;10;10;Debe tener mayor promoción. Un museo muy interesante que toda persona debe visitar e instruirse. Lo recomiendo. ;;
38083254;2023-07-11 11:58:33;2023-07-11 12:00:09;311750;Completa;Mobile;Imprenta Municipal - Artes del Libro;9;10;;10;10;;De 41 a 65 años;Femenino
38083448;2023-07-11 13:10:33;2023-07-11 13:10:44;311750;Parcial;Mobile;Planetario de Madrid;;;;;;;;
38085778;2023-07-11 17:05:03;2023-07-11 17:05:31;311750;Parcial;Mobile;Planetario de Madrid;10;;10;;10;;De 41 a 65 años;Masculino
38086247;2023-07-11 18:07:01;2023-07-11 18:08:12;311750;Completa;Mobile;Planetario de Madrid;10;6;8;8;8;;De 41 a 65 años;Masculino
38211392;2023-07-13 22:04:43;2023-07-13 22:09:25;311750;Completa;Mobile;Planetario de Madrid;6;4;0;5;2;Tengo un cardenal en la pierna debido a una de las butacas de la sala donde ponían la película por ser muy estrecho es espacio y haber poca luz;De 66 o más años;Femenino
38224372;2023-07-15 12:20:51;2023-07-15 12:22:10;311750;Completa;Mobile;Imprenta Municipal - Artes del Libro;10;10;10;9;10;Excelente museo Y exposiciones temporales muy interesantes Gracias;;Masculino
38480960;2023-07-21 12:51:16;2023-07-21 12:56:12;311750;Parcial;Mobile;Salas de Exposiciones Conde Duque;10;10;10;10;10;Hay que bajar un poco la temperatura del aire acondicionado. Hace demasiado frío en la sala de exposiciones. Eso es todo. ;;
38490933;2023-07-23 13:21:34;2023-07-23 13:21:41;311750;Parcial;Mobile;San Isidro. Los Orígenes de Madrid;;;;;;;;
38491151;2023-07-23 15:48:56;2023-07-23 15:49:46;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;;10;10;7;10;Una joya escondida;;Femenino
38491152;2023-07-23 15:49:06;2023-07-23 20:04:55;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;9;8;9;9;10;;De 26 a 40 años;Femenino
38491473;2023-07-23 18:41:42;2023-07-23 18:42:08;311750;Parcial;Mobile;Planetario de Madrid;10;10;;;;;;
38517499;2023-07-25 18:24:27;2023-07-25 18:24:58;311750;Parcial;Mobile;Imprenta Municipal - Artes del Libro;;;;;;;;
38594435;2023-08-01 13:31:30;2023-08-01 13:59:44;311750;Completa;Mobile;Templo de Debod;0;2;7;2;1;;De 18 a 25 años;Femenino
38598160;2023-08-01 17:31:24;2023-08-01 17:31:36;311750;Parcial;Mobile;Planetario de Madrid;;;;;;;;
38628445;2023-08-04 18:27:22;2023-08-04 18:27:33;311750;Parcial;Mobile;Salas de Exposiciones Conde Duque;;;;;;;;
38628448;2023-08-04 18:27:24;2023-08-04 18:27:47;311750;Parcial;Mobile;Salas de Exposiciones Conde Duque;;;;;;;;
38642652;2023-08-06 18:59:08;2023-08-06 19:03:24;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;10;;10;5;10;The videos explaining the prehistoric tool making and utilisation are excellent;De 41 a 65 años;Femenino
38681759;2023-08-09 14:26:27;2023-08-09 14:28:59;311750;Parcial;Mobile;Templo de Debod;2;0;;0;0;Capable de faire une enquête de satisfaction en français mais aucun panneau explicatif en français. Si c'est pas du foutage de gueule !;De 41 a 65 años;Femenino
38703243;2023-08-11 12:16:14;2023-08-11 12:17:58;311750;Completa;Mobile;Historia de Madrid;9;10;10;9;10;Todo bien;De 41 a 65 años;Femenino
38703508;2023-08-11 14:30:23;2023-08-11 14:40:11;311750;Completa;Mobile;Templo de Debod;0;;0;;0;Too much wait in heat thre hours of wait you are criminals;De 41 a 65 años;Masculino
38778421;2023-08-15 11:46:48;2023-08-15 11:49:20;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;10;10;10;1;10;El Museo es muy interesante pero el acceso a minusválidos hay partes que no se puede acceder ;De 41 a 65 años;Femenino
38798742;2023-08-16 16:06:43;2023-08-16 16:09:53;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;10;10;10;10;10;Ha sido súper interesante y explicado con mucho dinamismo;De 26 a 40 años;Masculino
38837833;2023-08-17 15:58:38;2023-08-17 16:16:23;311750;Completa;Mobile;Historia de Madrid;8;6;10;10;8;Les langues étrangères sont peut maitrisé par les hôtesses d accueil et les panneaux manque de mangue mais sinon parfait musée BRAVO ;De 18 a 25 años;Masculino
38838783;2023-08-17 17:55:17;2023-08-17 17:56:24;311750;Completa;Mobile;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Femenino
38838855;2023-08-17 18:04:56;2023-08-17 18:05:01;311750;Parcial;Mobile;Templo de Debod;;;;;;;;
39013272;2023-08-22 11:45:42;2023-08-22 11:47:27;311750;Completa;Mobile;Historia de Madrid;10;10;10;10;10;Es un museo muy interesante está bien como está ;De 41 a 65 años;Femenino
39032371;2023-08-23 14:13:05;2023-08-23 14:15:01;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;10;8;9;5;9;;De 41 a 65 años;Masculino
39194884;2023-08-29 10:40:50;2023-08-29 10:41:16;311750;Completa;Mobile;Arte Contemporáneo;10;10;;;10;;De 18 a 25 años;Femenino
39201268;2023-08-29 13:32:11;2023-08-29 13:32:55;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;10;;10;;9;;De 41 a 65 años;Masculino
39203007;2023-08-29 14:25:34;2023-08-29 14:28:18;311750;Parcial;Mobile;Templo de Debod;2;7;8;2;5;There should be an indication of the waiting time to enter;;
39216601;2023-08-30 13:06:32;2023-08-30 13:07:18;311750;Completa;Mobile;San Antonio de la Florida;10;;6;;10;;De 41 a 65 años;Femenino
39316197;2023-09-02 11:59:56;2023-09-02 12:01:15;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;8;9;10;9;9;The m;De 18 a 25 años;Masculino
39316848;2023-09-02 14:43:54;2023-09-02 14:44:58;311750;Completa;Mobile;Historia de Madrid;10;10;10;10;10;;;
39317852;2023-09-02 18:01:42;2023-09-02 18:03:12;311750;Parcial;Mobile;Castillo de la Alameda;10;9;10;;10;;;
39438372;2023-09-07 12:32:13;2023-09-07 12:32:54;311750;Completa;Mobile;San Antonio de la Florida;10;;10;;10;;De 41 a 65 años;Femenino
39459943;2023-09-07 15:14:51;2023-09-07 15:16:00;311750;Completa;Mobile;San Antonio de la Florida;10;;10;;10;;De 66 o más años;Masculino
39528794;2023-09-09 14:36:55;2023-09-09 14:37:08;311750;Parcial;Mobile;San Antonio de la Florida;10;;;;;;;
39528987;2023-09-09 15:18:29;2023-09-09 15:18:44;311750;Parcial;Mobile;Historia de Madrid;;;;;;;;
39530121;2023-09-09 18:51:29;2023-09-09 18:53:08;311750;Parcial;Mobile;San Antonio de la Florida;9;10;10;10;10;Una maravilla. Y la disposición de los espejos estupenda.;;
39557816;2023-09-12 12:03:03;2023-09-12 12:03:56;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;8;9;9;10;8;;De 18 a 25 años;Masculino
39620036;2023-09-13 16:36:15;2023-09-13 16:37:07;311750;Completa;Mobile;San Antonio de la Florida;10;10;10;10;10;;De 18 a 25 años;Femenino
39636279;2023-09-14 12:29:42;2023-09-14 12:31:11;311750;Parcial;Mobile;San Isidro. Los Orígenes de Madrid;;;;;;;;
39824078;2023-09-15 12:53:04;2023-09-15 12:54:40;311750;Completa;Mobile;Planetario de Madrid;10;;10;10;10;Plus de panneaux explicatifs en langues étrangères notamment francais et anglais;De 18 a 25 años;Masculino
39831443;2023-09-15 17:47:42;2023-09-15 17:47:48;311750;Parcial;Mobile;Arte Contemporáneo;;;;;;;;
39838311;2023-09-16 16:29:26;2023-09-16 16:31:32;311750;Completa;Mobile;San Antonio de la Florida;10;10;10;10;10;Muito bueno e gentil;De 41 a 65 años;Femenino
39844870;2023-09-17 18:59:26;2023-09-17 19:04:50;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;8;10;10;0;10;Estaría bien algún sitio más para sentarse;De 26 a 40 años;Femenino
39964041;2023-09-22 12:17:24;2023-09-22 12:18:18;311750;Completa;Mobile;San Isidro. Los Orígenes de Madrid;10;10;10;10;10;Estuvo muy bueno;De 26 a 40 años;Masculino
39965974;2023-09-22 15:53:49;2023-09-22 15:55:35;311750;Completa;Mobile;Historia de Madrid;10;9;10;10;9;Extension of the museum to cover the civil war period;De 26 a 40 años;Masculino
40032509;2023-09-24 13:03:15;2023-09-24 13:04:21;311750;Completa;Mobile;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Masculino
40032834;2023-09-24 17:06:05;2023-09-24 17:16:31;311750;Completa;Mobile;Planetario de Madrid;8;10;10;8;8;no;De 18 a 25 años;Masculino
40060138;2023-09-26 16:30:39;2023-09-26 16:31:42;311750;Completa;Desktop;Historia de Madrid;9;9;9;;9;;De 41 a 65 años;Femenino
40090252;2023-09-27 12:35:34;2023-10-04 12:28:33;311750;Completa;Desktop;San Antonio de la Florida;10;10;10;10;10;;De 18 a 25 años;Femenino
40124340;2023-09-28 18:23:52;2023-09-28 18:27:08;311750;Completa;Mobile;San Antonio de la Florida;7;10;;8;9;Me pregunto por qué no dejan tomar fotos es una lástima ;De 26 a 40 años;Femenino
40130335;2023-09-29 09:09:15;2023-09-29 09:11:43;311750;Completa;Desktop;Historia de Madrid;9;9;10;10;9;;;
40130346;2023-09-29 09:12:02;2023-09-29 09:13:13;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40130350;2023-09-29 09:13:26;2023-09-29 09:14:24;311750;Completa;Desktop;Historia de Madrid;10;10;10;;;;De 66 o más años;Femenino
40130353;2023-09-29 09:14:33;2023-09-29 09:15:23;311750;Completa;Desktop;Historia de Madrid;9;9;9;9;9;;De 66 o más años;Masculino
40131589;2023-09-29 15:16:51;2023-09-29 15:17:16;311750;Completa;Mobile;Historia de Madrid;10;;10;;10;;De 41 a 65 años;
40140830;2023-09-30 19:30:46;2023-09-30 19:31:08;311750;Parcial;Mobile;Historia de Madrid;8;10;;;;;;
40148634;2023-10-02 12:11:13;2023-10-02 12:11:38;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40149054;2023-10-02 13:57:10;2023-10-02 13:58:12;311750;Completa;Desktop;Historia de Madrid;9;9;10;10;9;;De 41 a 65 años;Masculino
40149071;2023-10-02 13:58:12;2023-10-02 13:58:47;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40149074;2023-10-02 13:58:47;2023-10-02 14:00:00;311750;Completa;Desktop;Historia de Madrid;10;10;10;;9;;De 66 o más años;Femenino
40149079;2023-10-02 14:00:00;2023-10-02 14:00:17;311750;Completa;Desktop;Historia de Madrid;;;;;;;;
40149080;2023-10-02 14:00:17;2023-10-02 14:01:38;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Masculino
40149089;2023-10-02 14:01:38;2023-10-02 14:02:16;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Masculino
40149094;2023-10-02 14:02:16;2023-10-02 14:03:13;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40149097;2023-10-02 14:03:13;2023-10-02 14:03:59;311750;Completa;Desktop;Historia de Madrid;9;7;9;8;9;;De 66 o más años;Masculino
40149100;2023-10-02 14:03:59;2023-10-02 14:05:56;311750;Completa;Desktop;Historia de Madrid;6;6;9;8;8;;De 41 a 65 años;Femenino
40149111;2023-10-02 14:05:56;2023-10-02 14:09:03;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40149125;2023-10-02 14:09:03;2023-10-02 14:09:47;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Masculino
40149127;2023-10-02 14:09:47;2023-10-02 14:12:08;311750;Completa;Desktop;Historia de Madrid;9;9;10;10;9;;De 41 a 65 años;Masculino
40149138;2023-10-02 14:12:08;2023-10-02 14:12:35;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Femenino
40149141;2023-10-02 14:12:36;2023-10-02 14:13:23;311750;Completa;Desktop;Historia de Madrid;10;8;10;;;;;
40149144;2023-10-02 14:13:23;2023-10-02 14:13:41;311750;Completa;Desktop;Historia de Madrid;10;10;10;;;;;
40149147;2023-10-02 14:13:41;2023-10-02 14:14:09;311750;Completa;Desktop;Historia de Madrid;8;10;10;10;10;;De 18 a 25 años;Femenino
40149152;2023-10-02 14:14:09;2023-10-02 14:15:01;311750;Completa;Desktop;Historia de Madrid;10;9;10;;;;;
40149156;2023-10-02 14:15:01;2023-10-02 14:15:43;311750;Completa;Desktop;Historia de Madrid;10;5;9;10;10;;De 18 a 25 años;Femenino
40149158;2023-10-02 14:15:43;2023-10-02 14:16:22;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;
40149160;2023-10-02 14:16:22;2023-10-02 14:16:50;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Femenino
40149162;2023-10-02 14:16:50;2023-10-02 14:17:30;311750;Completa;Desktop;Historia de Madrid;8;9;10;5;8;;De 18 a 25 años;Femenino
40149166;2023-10-02 14:17:30;2023-10-02 14:18:05;311750;Completa;Desktop;Historia de Madrid;4;8;5;2;7;;De 18 a 25 años;Masculino
40149167;2023-10-02 14:18:05;2023-10-02 14:18:41;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40149173;2023-10-02 14:18:41;2023-10-02 14:20:08;311750;Completa;Desktop;Historia de Madrid;10;5;10;7;9;;De 26 a 40 años;Masculino
40149183;2023-10-02 14:20:08;2023-10-02 14:20:39;311750;Completa;Desktop;Historia de Madrid;10;1;10;10;6;;De 26 a 40 años;
40149186;2023-10-02 14:20:39;2023-10-02 14:21:05;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Femenino
40149190;2023-10-02 14:21:05;2023-10-02 14:21:37;311750;Completa;Desktop;Historia de Madrid;7;8;10;8;9;;De 18 a 25 años;Masculino
40149191;2023-10-02 14:21:37;2023-10-02 14:22:07;311750;Completa;Desktop;Historia de Madrid;8;6;10;9;8;;De 18 a 25 años;Femenino
40149193;2023-10-02 14:22:07;2023-10-02 14:22:32;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40149196;2023-10-02 14:22:32;2023-10-02 14:22:58;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40149199;2023-10-02 14:22:58;2023-10-02 14:23:31;311750;Completa;Desktop;Historia de Madrid;9;9;10;;9;;De 41 a 65 años;
40149203;2023-10-02 14:23:31;2023-10-02 14:23:58;311750;Completa;Desktop;Historia de Madrid;9;10;10;10;9;;De 41 a 65 años;Femenino
40149204;2023-10-02 14:23:58;2023-10-02 14:24:47;311750;Completa;Desktop;Historia de Madrid;10;5;10;7;10;;De 26 a 40 años;Femenino
40149209;2023-10-02 14:24:47;2023-10-02 14:25:16;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;
40149211;2023-10-02 14:25:16;2023-10-02 14:26:28;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;Menos de 18 años;Masculino
40149217;2023-10-02 14:26:28;2023-10-02 14:26:51;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;;Masculino
40149219;2023-10-02 14:26:51;2023-10-02 14:27:21;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;;Masculino
40149222;2023-10-02 14:27:21;2023-10-02 14:27:56;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40149224;2023-10-02 14:27:56;2023-10-02 14:28:27;311750;Completa;Desktop;Historia de Madrid;9;;9;9;9;;De 41 a 65 años;Masculino
40149227;2023-10-02 14:28:27;2023-10-02 14:29:06;311750;Completa;Desktop;Historia de Madrid;9;8;9;9;9;;De 66 o más años;Masculino
40149234;2023-10-02 14:29:06;2023-10-02 14:29:34;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 18 a 25 años;Masculino
40149237;2023-10-02 14:29:34;2023-10-02 14:30:58;311750;Completa;Desktop;Historia de Madrid;10;10;10;;;;De 18 a 25 años;Masculino
40149241;2023-10-02 14:30:59;2023-10-02 14:31:28;311750;Completa;Desktop;Historia de Madrid;10;10;10;;;;;
40149245;2023-10-02 14:31:28;2023-10-02 14:32:15;311750;Completa;Desktop;Historia de Madrid;8;10;10;;;;;
40149251;2023-10-02 14:32:16;2023-10-02 14:33:05;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 66 o más años;
40149253;2023-10-02 14:33:05;2023-10-02 14:33:28;311750;Completa;Desktop;Historia de Madrid;10;8;10;;;;De 18 a 25 años;Masculino
40149255;2023-10-02 14:33:28;2023-10-02 14:34:13;311750;Completa;Desktop;Historia de Madrid;10;9;9;;;;De 26 a 40 años;
40149259;2023-10-02 14:34:13;2023-10-02 14:34:40;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;
40149262;2023-10-02 14:34:40;2023-10-02 14:35:03;311750;Completa;Desktop;Historia de Madrid;10;10;10;7;10;;De 26 a 40 años;Femenino
40149266;2023-10-02 14:35:03;2023-10-02 14:36:09;311750;Completa;Desktop;Historia de Madrid;10;8;8;4;8;;De 26 a 40 años;Femenino
40149269;2023-10-02 14:36:09;2023-10-02 14:36:34;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 18 a 25 años;Masculino
40149271;2023-10-02 14:36:34;2023-10-02 14:36:58;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40149272;2023-10-02 14:36:58;2023-10-02 14:37:31;311750;Completa;Desktop;Historia de Madrid;9;7;8;10;6;;Menos de 18 años;Femenino
40149275;2023-10-02 14:37:31;2023-10-02 14:37:58;311750;Completa;Desktop;Historia de Madrid;9;7;10;9;8;;Menos de 18 años;Femenino
40149279;2023-10-02 14:37:58;2023-10-02 14:38:21;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Masculino
40149284;2023-10-02 14:38:21;2023-10-02 14:38:40;311750;Completa;Desktop;Historia de Madrid;9;9;9;;;;;
40149285;2023-10-02 14:38:40;2023-10-02 14:39:02;311750;Completa;Desktop;Historia de Madrid;10;10;10;9;10;;Menos de 18 años;Femenino
40149287;2023-10-02 14:39:02;2023-10-02 14:39:23;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40149289;2023-10-02 14:39:23;2023-10-02 14:39:49;311750;Completa;Desktop;Historia de Madrid;10;10;10;9;9;;De 41 a 65 años;
40149291;2023-10-02 14:39:49;2023-10-02 14:40:10;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40149294;2023-10-02 14:40:10;2023-10-02 14:41:24;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40149304;2023-10-02 14:41:25;2023-10-02 14:42:04;311750;Completa;Desktop;Historia de Madrid;10;0;10;10;10;;De 26 a 40 años;Femenino
40149309;2023-10-02 14:42:04;2023-10-02 14:42:32;311750;Completa;Desktop;Historia de Madrid;10;10;10;3;5;;De 41 a 65 años;Femenino
40149311;2023-10-02 14:42:32;2023-10-02 14:43:27;311750;Completa;Desktop;Historia de Madrid;10;9;10;9;8;;De 26 a 40 años;Femenino
40149318;2023-10-02 14:43:27;2023-10-02 14:43:57;311750;Completa;Desktop;Historia de Madrid;10;8;10;10;10;;De 26 a 40 años;Femenino
40149322;2023-10-02 14:43:57;2023-10-02 14:44:19;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Masculino
40149325;2023-10-02 14:44:19;2023-10-02 14:44:45;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40149327;2023-10-02 14:44:45;2023-10-02 14:45:08;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;9;;Menos de 18 años;Femenino
40149331;2023-10-02 14:45:08;2023-10-02 14:45:35;311750;Completa;Desktop;Historia de Madrid;9;8;9;10;9;;De 26 a 40 años;
40149333;2023-10-02 14:45:35;2023-10-02 14:45:59;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Masculino
40149335;2023-10-02 14:45:59;2023-10-02 14:46:21;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 26 a 40 años;Femenino
40149337;2023-10-02 14:46:21;2023-10-02 14:46:45;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Masculino
40149340;2023-10-02 14:46:45;2023-10-02 14:47:12;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Femenino
40149347;2023-10-02 14:47:12;2023-10-02 14:47:53;311750;Completa;Desktop;Historia de Madrid;10;6;9;10;10;;De 18 a 25 años;Masculino
40149350;2023-10-02 14:47:53;2023-10-02 14:48:19;311750;Completa;Desktop;Historia de Madrid;10;7;10;10;9;;De 18 a 25 años;Masculino
40149352;2023-10-02 14:48:19;2023-10-02 14:49:06;311750;Completa;Desktop;Historia de Madrid;10;8;8;8;8;;De 18 a 25 años;Femenino
40149357;2023-10-02 14:49:06;2023-10-02 14:49:37;311750;Completa;Desktop;Historia de Madrid;10;9;9;9;10;;De 18 a 25 años;Masculino
40149361;2023-10-02 14:49:37;2023-10-02 14:50:04;311750;Completa;Desktop;Historia de Madrid;6;9;10;8;10;;De 18 a 25 años;
40149367;2023-10-02 14:50:04;2023-10-02 14:50:28;311750;Completa;Desktop;Historia de Madrid;9;10;10;10;10;;Menos de 18 años;Femenino
40149369;2023-10-02 14:50:28;2023-10-02 14:50:54;311750;Completa;Desktop;Historia de Madrid;9;10;10;10;9;;Menos de 18 años;Femenino
40149371;2023-10-02 14:50:54;2023-10-02 14:51:26;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;
40149375;2023-10-02 14:51:26;2023-10-02 14:51:54;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 26 a 40 años;
40149378;2023-10-02 14:51:54;2023-10-02 14:52:24;311750;Completa;Desktop;Historia de Madrid;10;8;9;10;9;;De 18 a 25 años;Masculino
40149381;2023-10-02 14:52:24;2023-10-02 14:53:06;311750;Completa;Desktop;Historia de Madrid;9;6;8;9;8;;De 18 a 25 años;Masculino
40149389;2023-10-02 14:53:06;2023-10-02 14:53:41;311750;Completa;Desktop;Historia de Madrid;10;6;7;1;7;;De 41 a 65 años;Masculino
40149390;2023-10-02 14:53:41;2023-10-02 14:54:19;311750;Completa;Desktop;Historia de Madrid;9;9;10;9;10;;De 41 a 65 años;Masculino
40149393;2023-10-02 14:54:19;2023-10-02 14:55:44;311750;Completa;Desktop;Historia de Madrid;10;10;10;;9;;De 26 a 40 años;Femenino
40149400;2023-10-02 14:55:44;2023-10-02 14:56:08;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Masculino
40149406;2023-10-02 14:56:08;2023-10-02 14:56:27;311750;Completa;Desktop;Historia de Madrid;9;10;10;;;;;
40149408;2023-10-02 14:56:27;2023-10-02 14:56:53;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
